cui,cueanexo,cue,anexo,sector,dom_edific,dom_establ,nombre_est,nombre_abr,telefono,email,codpost,web_megcba,nivmod,nivelmodal,tipest_abr,tipest,depfun,depfun_otr,de,comuna,barrio,area_progr,estado,point_x,point_y,nivel
"200096","20036100","200361","0",1.000000000000000,Avda. Santa Fe 2778,Avda. Santa Fe 2778,Inst. de Tiempo Libre y Recreación,IES T L y R,4824-4403,secretariaistlyr@gmail.com dfts_ifts87_de2@bue.edu.ar,C1425,http://www.buenosaires.gob.ar/educacion/estudiantes/terciario/formacion-tecnica-superior,SNUCom - OSEAdu,Nivel Superior No Universitario Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,IES,Instituto de Educación Superior (Formación Técnica),Dirección de EducaciónTécnica Superior,Ministerio de Educación,2.000000000000000,2.000000000000000,RECOLETA,04 - HOSP FERNANDEZ,"1",105256.197297000006074,104034.499611999999615,Superior No Universitario Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos
"200096","20074400","200744","0",1.000000000000000,Avda. Santa Fe 2778,Avda. Santa Fe 2778,Liceo N° 01 José Figueroa Alcorta,Lic 01,4823-5308/4826-1395,dem_lic1_de2@bue.edu.ar / liceo1de2@gmail.com,C1425,http://www.buenosaires.gob.ar/educacion/estudiantes/secundario/contacto?menu_id=18231,SecCom,Nivel Secundario Común,LIC,Liceo,Dirección de Educación Media,Ministerio de Educación,2.000000000000000,2.000000000000000,RECOLETA,04 - HOSP FERNANDEZ,"1",105256.197297000006074,104034.499611999999615,Secundario Común
"200097","20097300","200973","0",1.000000000000000,Avda. Rivadavia 3577,Avda. Rivadavia 3577,Colegio N° 03 Mariano Moreno,Col 03,4863-0813,dem_col3_de2@bue.edu.ar,C1204,http://www.buenosaires.gob.ar/educacion/estudiantes/secundario/contacto?menu_id=18231,SecCom,Nivel Secundario Común,COL,Colegio,Dirección de Educación Media,Ministerio de Educación,2.000000000000000,5.000000000000000,ALMAGRO,08 - HOSP RAMOS MEJIA,"1",104263.136796999984654,102057.586112000004505,Secundario Común
"202694","20189500","201895","0",2.000000000000000,Varela 265,Varela 265,Colegio Limerick,Col Limerick,4612-3833,info@colegiolimerick.com.ar,C1406,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,IniCom - PriCom - SecCom,"Nivel Inicial, Primario y Secundario Común",IEIEO,Instituto Educativo Incorporado a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,Ministerio de Educación,11.000000000000000,7.000000000000000,FLORES,06 - HOSP PIÑERO,"1",99963.837380700002541,99546.948800900005153,Inicial Común - Primario Común - Secundario Común
"200097","20273900","202739","0",1.000000000000000,Avda. Rivadavia 3577,Bartolomé Mitre 3560,Instituto de Formación Técnica Superior N° 28,IFTS 28,4862-9041,dfts_ifts28_de3@bue.edu.ar /pedagogiasocial_ute@yahoo.com.ar,C1201,http://www.buenosaires.gob.ar/educacion/estudiantes/terciario/formacion-tecnica-superior,SNUCom - OSEAdu,Nivel Superior No Universitario Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,IFTS,Instituto de Formación Técnica Superior,Dirección de EducaciónTécnica Superior,Ministerio de Educación,2.000000000000000,5.000000000000000,ALMAGRO,08 - HOSP RAMOS MEJIA,"1",104263.136796999984654,102057.586112000004505,Superior No Universitario Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos
"200098","20141600","201416","0",1.000000000000000,Ecuador 1158,Ecuador 1158,Colegio N° 15 Revolución de Mayo,Col 15,4961-9107/7064/9007,dem_col15_de2@bue.edu.ar,C1425,http://www.buenosaires.gob.ar/educacion/estudiantes/secundario/contacto?menu_id=18231,SecCom,Nivel Secundario Común,COL,Colegio,Dirección de Educación Media,Ministerio de Educación,2.000000000000000,2.000000000000000,RECOLETA,04 - HOSP FERNANDEZ,"1",105352.178096999996342,103629.504711999994470,Secundario Común
"200098","20092000","200920","0",1.000000000000000,Ecuador 1158,Ecuador 1158,Colegio N° 06 Manuel Belgrano,Col 06,4961-9107,dem_col6_de2@bue.edu.ar / col6de2manuelbelgrano@gmail.com,C1425,http://www.buenosaires.gob.ar/educacion/estudiantes/secundario/contacto?menu_id=18231,SecCom,Nivel Secundario Común,COL,Colegio,Dirección de Educación Media,Ministerio de Educación,2.000000000000000,2.000000000000000,RECOLETA,04 - HOSP FERNANDEZ,"1",105352.178096999996342,103629.504711999994470,Secundario Común
"200099","20116200","201162","0",1.000000000000000,Valentín Gómez 3163,Valentín Gómez 3163,Colegio N° 05 Bartolomé Mitre,Col 05,4863-3507,dem_col5_de2@bue.edu.ar,C1191,http://www.buenosaires.gob.ar/educacion/estudiantes/secundario/contacto?menu_id=18231,SecCom,Nivel Secundario Común,COL,Colegio,Dirección de Educación Media,Ministerio de Educación,2.000000000000000,3.000000000000000,BALVANERA,08 - HOSP RAMOS MEJIA,"1",104876.149296999996295,102686.546111999996356,Secundario Común
"200099","20141900","201419","0",1.000000000000000,Valentín Gómez 3163,Valentín Gómez 3163,Colegio N° 14 Juan José Paso,Col 14,4862-6090,dem_col14_de2@bue.edu.ar,C1191,http://www.buenosaires.gob.ar/educacion/estudiantes/secundario/contacto?menu_id=18231,SecCom,Nivel Secundario Común,COL,Colegio,Dirección de Educación Media,Ministerio de Educación,2.000000000000000,3.000000000000000,BALVANERA,08 - HOSP RAMOS MEJIA,"1",104876.149296999996295,102686.546111999996356,Secundario Común
"200099","20245833","202458","33",1.000000000000000,Valentín Gómez 3163,Valentín Gómez 3163,Primera Infancia Luciérnagas,PI 33,4343-5591 INT 605/7,inclusioneducativa@bue.edu.ar,C1191,http://www.buenosaires.gob.ar/areas/educacion/dgie/clubes_infantiles.php?menu_id=31761,OSECom,Otros Servicios Educativos de la modalidad Común,PI,Primera Infancia,Subsecretaría de Coordinación Pedagógica y Equidad Educativa,Ministerio de Educación,2.000000000000000,3.000000000000000,BALVANERA,08 - HOSP RAMOS MEJIA,"1",104876.149296999996295,102686.546111999996356,Otros Servicios Educativos de la modalidad Común
"200101","20071700","200717","0",1.000000000000000,Güemes 3859,Güemes 3859,Esc. Normal Superior N° 06 Vicente Lopez y Planes,ENS 06 V L y Planes,4824-2741/0383,ens6@bue.edu.ar,C1425,http://www.buenosaires.gob.ar/areas/educacion/docentes/superior/index.php?menu_id=20596,IniCom - PriCom - SecCom - SNUCom,"Nivel Inicial, Primario, Secundario y Superior No Universitario Común",ENS,Escuela Normal Superior,Dirección de Escuelas Normales Superiores,Ministerio de Educación,2.000000000000000,14.000000000000000,PALERMO,04 - HOSP FERNANDEZ,"1",104331.246197000000393,104699.523310999997193,Inicial Común - Primario Común - Secundario Común - Superior No Universitario Común
"200102","20122200","201222","0",1.000000000000000,Avda. Corrientes 4261,Avda. Corrientes 4261,Esc. de Comercio N° 08 Patricias Argentinas,EC 08,4863-3839,dem_ec8_de2@bue.edu.ar,C1192,http://www.buenosaires.gob.ar/educacion/estudiantes/secundario/contacto?menu_id=18231,SecCom,Nivel Secundario Común,EC,Escuela de Comercio,Dirección de Educación Media,Ministerio de Educación,2.000000000000000,5.000000000000000,ALMAGRO,03 - HOSP DURAND,"1",103513.191697000002023,102960.597112000003108,Secundario Común
"200102","20142200","201422","0",1.000000000000000,Avda. Corrientes 4261,Avda. Corrientes 4261,Esc. de Comercio N° 25 Santiago de Liniers,EC 25,4863-3839,dem_ec25_de2@bue.edu.ar,C1192,http://www.buenosaires.gob.ar/educacion/estudiantes/secundario/contacto?menu_id=18231,SecCom,Nivel Secundario Común,EC,Escuela de Comercio,Dirección de Educación Media,Ministerio de Educación,2.000000000000000,5.000000000000000,ALMAGRO,03 - HOSP DURAND,"1",103513.191697000002023,102960.597112000003108,Secundario Común
"200102","20099700","200997","0",1.000000000000000,Avda. Corrientes 4261,Avda. Corrientes 4261,Esc. Normal Superior N° 07 José María Torres,ENS 07 J M Torres,4863-3839,ens7de2@buenosaires.edu.ar,C1195,http://www.buenosaires.gob.ar/areas/educacion/docentes/superior/index.php?menu_id=20596,IniCom - PriCom - SecCom - SNUCom,"Nivel Inicial, Primario, Secundario y Superior No Universitario Común",ENS,Escuela Normal Superior,Dirección de Escuelas Normales Superiores,Ministerio de Educación,2.000000000000000,5.000000000000000,ALMAGRO,03 - HOSP DURAND,"1",103513.191697000002023,102960.597112000003108,Inicial Común - Primario Común - Secundario Común - Superior No Universitario Común
"200102","20245848","202458","48",1.000000000000000,Avda. Corrientes 4261,Avda. Corrientes 4261,Primera Infancia EC Santiago de Liniers,PI S de Liniers,S/D,S/D,"1195",http://www.buenosaires.gob.ar/areas/educacion/dgie/clubes_infantiles.php?menu_id=31761,OSECom,Otros Servicios Educativos de la modalidad Común,PI,Primera Infancia,Subsecretaría de Coordinación Pedagógica y Equidad Educativa,Ministerio de Educación,2.000000000000000,5.000000000000000,ALMAGRO,03 - HOSP DURAND,"1",103513.191697000002023,102960.597112000003108,Otros Servicios Educativos de la modalidad Común
"200103","20040500","200405","0",1.000000000000000,José Antonio Cabrera 4078,José Antonio Cabrera 4078,Esc. Integral Interdisciplinaria N° 02,EII 02 (ER 02),4863-8126,edrec2_de2@bue.edu.ar,C1186,http://www.buenosaires.gob.ar/educacion/estudiantes/especial,PriEsp,Nivel Primario Especial,EII,Escuela de Integración Interdisciplinaria,Dirección de Educación Especial,Ministerio de Educación,2.000000000000000,14.000000000000000,PALERMO,04 - HOSP FERNANDEZ,"1",103605.218496999994386,103648.577711000005365,Primario Especial
"202614","20001600","200016","0",2.000000000000000,Avda. Juan Bautista Alberdi 3270,Avda. Juan Bautista Alberdi 3270,Escuela Argentina de Psicomotricidad - A.C.E.S,Esc Arg de Psicomotricidad  ACE,4611-7081,aces.escuela@gmail.com,C1406,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,SNUCom,Nivel Superior No Universitario Común,IEIEO,Instituto Educativo Incorporado a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"1",11.000000000000000,10.000000000000000,FLORESTA,06 - HOSP PIÑERO,"3",99123.603297800000291,99380.611111599995638,Superior No Universitario Común
"200105","20236303","202363","3",1.000000000000000,Sarmiento 4041,Sarmiento 4041,Centro de Actividades Infantiles y Juveniles Club Almagro,CAIyJ Almagro,4342-5685/2384INT628,clubdejovenes@buenosaires.gob.ar,C1197,http://www.buenosaires.gob.ar/areas/educacion/dgie/clubes_infantiles.php?menu_id=31761,OSECom,Otros Servicios Educativos de la modalidad Común,CAIJ,Centro de Actividades Infantiles y Juveniles,Subsecretaría de Coordinación Pedagógica y Equidad Educativa,Ministerio de Educación,2.000000000000000,5.000000000000000,ALMAGRO,03 - HOSP DURAND,"1",103803.175296999994316,102725.590312000000267,Otros Servicios Educativos de la modalidad Común
"200106","20303400","203034","0",1.000000000000000,Bulnes 45,Bulnes 45,Esc. Superior de Educación Artística en Arte Cerámico N° 01,ESEA 01 Art Cerámico,4865-8489,dea_ec1_de2@bue.edu.ar,"1176",http://www.buenosaires.gob.ar/areas/educacion/niveles/art/?menu_id=9765,SecCom - OSECom - OSEAdu,"Nivel Secundario Común, Otros Servicios Educativos de las modalidadades Común y de Jóvenes y Adultos",ESEA,Escuela Superior de Educación Artística,Dirección de Educación Artística,Ministerio de Educación,2.000000000000000,5.000000000000000,ALMAGRO,08 - HOSP RAMOS MEJIA,"1",104114.141696999999112,102093.591612000003806,Secundario Común - Otros Servicios Educativos de la modalidadad Común - Otros Servicios de la modalidad de Jóvenes y Adultos
"200084","20038600","200386","0",1.000000000000000,Obrero Roberto Núñez 4355,Obrero Roberto Núñez 4355,Esc. Primaria Común N° 11 Provincia de Jujuy,EPjc 11,4862-4789,dep_epc11_de2@bue.edu.ar,C1182,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,Ministerio de Educación,2.000000000000000,5.000000000000000,ALMAGRO,03 - HOSP DURAND,"1",103371.191196999992826,102871.605112000004738,Primario Común
"200106","20302810","203028","10",1.000000000000000,Bulnes 45,Bulnes 45,ESEA en Danza Ramicone Curso Vocacional de Folklore N° 10,CV Folk 10,4863-3844/4642555 INT 1034,vocacionales2010@yahoo.com.ar,"1176",http://www.buenosaires.gob.ar/areas/educacion/niveles/art/?menu_id=9765,OSECom,Otros Servicios Educativos de la modalidad Común,ESEA,Escuela Superior de Educación Artística,Dirección de Educación Artística,Ministerio de Educación,2.000000000000000,5.000000000000000,ALMAGRO,08 - HOSP RAMOS MEJIA,"1",104114.141696999999112,102093.591612000003806,Otros Servicios Educativos de la modalidad Común
"202682","20287100","202871","0",1.000000000000000,"Avda. Cnel. Roca 5359, Pta. 9, Autódromo",Avda. Cnel. Roca - Pta. 9,Escuela Infantil N° 11/21°,EI 11/21,4604-0206,dei_ei11_de21@bue.edu.ar,C1439,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,EI,Escuela Infantil,Dirección de Educación Inicial,Ministerio de Educación,21.000000000000000,8.000000000000000,VILLA RIACHUELO,09 - HOSP SANTOJANNI,"1",100246.804596999994828,93277.965612300002249,Inicial Común
"200107","20065100","200651","0",1.000000000000000,Lezica 3955,Lezica 3955,Centro Educativo de Nivel Secundario N° 20,CENS 20,4982-3804,deaa_cens20_de2@bue.edu.ar,C1202,http://www.buenosaires.gob.ar/educacion/estudiantes/adultos/secundaria,SecAdu,Nivel Secundario de Jóvenes y Adultos,CENS,Centro Educativo de Nivel Secundario,Dirección de Educación del Adulto y del Adolescente,Ministerio de Educación,2.000000000000000,5.000000000000000,ALMAGRO,03 - HOSP DURAND,"1",103764.147297000003164,102037.607512000002316,Secundario de Jóvenes y Adultos
"200107","20196000","201960","0",1.000000000000000,Lezica 3955,Lezica 3955,Escuela de la Joya,Esc Joya,4983-3804/3698,escueladelajoya@bue.edu.ar,C1212,http://www.buenosaires.gob.ar/educacion/educacionytrabajo?menu_id=20091,OSEAdu,Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,JOYA,Escuela de la Joya,Gerencia Operativa de Formación Profesional,Ministerio de Educación,2.000000000000000,5.000000000000000,ALMAGRO,03 - HOSP DURAND,"1",103764.147297000003164,102037.607512000002316,Otros Servicios Educativos de la modalidad de Jóvenes y Adultos
"200109","20123500","201235","0",1.000000000000000,Avda. Pueyrredón 860,Avda. Pueyrredón 860  2° piso,Centro Educativo de Nivel Secundario N° 48,CENS 48 SMATA,4307-0111,deaa_cens48_de3@bue.edu.ar,C1032,http://www.buenosaires.gob.ar/educacion/estudiantes/adultos/secundaria,SecAdu,Nivel Secundario de Jóvenes y Adultos,CENS,Centro Educativo de Nivel Secundario,Dirección de Educación del Adulto y del Adolescente,Ministerio de Educación,2.000000000000000,3.000000000000000,BALVANERA,08 - HOSP RAMOS MEJIA,"1",105394.417297000007238,103215.512212000001455,Secundario de Jóvenes y Adultos
"200109","20202200","202022","0",1.000000000000000,Avda. Pueyrredón 860,Avda. Pueyrredón 860  2° piso,Centro de Formación Profesional N° 18 CCA,CFP 18 CCA,4961-4020/2073,cfp_18@hotmail.com,C1032,http://www.buenosaires.gob.ar/educacion/educacionytrabajo?menu_id=20091,OSECom - OSEAdu,Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos,CFP,Centro de Formación Profesional,Gerencia Operativa de Formación Profesional,Ministerio de Educación,2.000000000000000,3.000000000000000,BALVANERA,08 - HOSP RAMOS MEJIA,"1",105394.417297000007238,103215.512212000001455,Otros Servicios Educativos de la modalidad Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos
"200110","20202800","202028","0",1.000000000000000,Avda. Díaz Vélez 4093,Avda. Díaz Vélez 4093,Centro de Formación Profesional N° 29 Asociación de Educadores Porteños,CFP 29 AEP,4982-3961/4981-1131,cfp29_de02@bue.edu.ar,C1200,http://www.buenosaires.gob.ar/educacion/educacionytrabajo?menu_id=20091,OSECom - OSEAdu,Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos,CFP,Centro de Formación Profesional,Gerencia Operativa de Formación Profesional,Ministerio de Educación,2.000000000000000,5.000000000000000,ALMAGRO,03 - HOSP DURAND,"1",103559.568897000004654,102306.313011999998707,Otros Servicios Educativos de la modalidad Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos
"200112","20282200","202822","0",2.000000000000000,Viamonte 2518 / 2530,Viamonte 2518,Inst. Superior Facultar,I Sup Facultar,4962-4503/1196,isf@facultar.com.ar,C1056,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,SNUCom,Nivel Superior No Universitario Común,IEIEO,Instituto Educativo Incorporado a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,Ministerio de Educación,2.000000000000000,3.000000000000000,BALVANERA,08 - HOSP RAMOS MEJIA,"1",105541.691196999992826,103121.550111999997171,Superior No Universitario Común
"200123","20245834","202458","34",1.000000000000000,Chile 1626,Chile 1626,Primera Infancia Chile,PI 34,4343-5591 INT 605/7,inclusioneducativa@bue.edu.ar,C1100,http://www.buenosaires.gob.ar/areas/educacion/dgie/clubes_infantiles.php?menu_id=31761,OSECom,Otros Servicios Educativos de la modalidad Común,PI,Primera Infancia,Subsecretaría de Coordinación Pedagógica y Equidad Educativa,Ministerio de Educación,3.000000000000000,1.000000000000000,MONTSERRAT,08 - HOSP RAMOS MEJIA,"1",106768.051196999993408,101374.496411999993143,Otros Servicios Educativos de la modalidad Común
"200011","20071000","200710","0",1.000000000000000,Julián Alvarez 2849,Julián Alvarez 2849,Esc. Primaria Común N° 12 Gral. Las Heras,EPjc 12,4824-7598,dep_epc12_de1@bue.edu.ar / escpri12de1@gmail.com,C1425,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,Ministerio de Educación,1.000000000000000,14.000000000000000,PALERMO,04 - HOSP FERNANDEZ,"1",104785.247696999998880,104980.497911000013119,Primario Común
"200113","20238900","202389","0",1.000000000000000,Gallo 1340,Gallo 1340,Jardín Maternal N° 03/02°,JM 03/02,4961-9443,dei_jm3_de2@bue.edu.ar,C1425,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JM,Jardín Maternal,Dirección de Educación Inicial,Ministerio de Educación,2.000000000000000,2.000000000000000,RECOLETA,04 - HOSP FERNANDEZ,"1",104807.199097000004258,103834.523012000005110,Inicial Común
"200118","20195900","201959","0",1.000000000000000,Sarmiento 2573,Sarmiento 2573,Escuela Metropolitana de Arte Dramático,Esc Metropol de Arte Dramático,4953-9368/9342,secretariadireccionemad@gmail.com/secretaria.piazzola@buenosaires.gob.ar,C1045,http://www.buenosaires.gob.ar/areas/cultura/dg_ens_art/?menu_id=334,SNUCom,Nivel Superior No Universitario Común,,No Corresponde - Cultura,,Ministerio de Cultura,2.000000000000000,3.000000000000000,BALVANERA,08 - HOSP RAMOS MEJIA,"1",105518.318297000005259,102554.506412000002456,Superior No Universitario Común
"200120","20215500","202155","0",1.000000000000000,Gral. Lucio Norberto Mansilla 3643,Gral. Lucio Norberto Mansilla 3643,Centro Educativo Complementario de Idiomas Extranjeros N° 02,CECIE 02,4828-0775,cecie2@hotmail.com/dep_cecdie2_de2@bue.edu.ar,C1425,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,OSECom,Otros Servicios Educativos de la modalidad Común,CECDIE,Centro Educativo Complementario de Idioma Extranjero,Dirección de Educación Primaria,Ministerio de Educación,2.000000000000000,14.000000000000000,PALERMO,04 - HOSP FERNANDEZ,"1",104446.225797000006423,104276.528111000006902,Otros Servicios Educativos de la modalidad Común
"200039","20201800","202018","0",1.000000000000000,Tucumán 1647,Tucumán 1647,Centro de Formación Profesional N° 13 ASIMRA,CFP 13 ASIMRA,4371-1770,cfp13_de1@bue.edu.ar,C1050,http://www.buenosaires.gob.ar/educacion/educacionytrabajo?menu_id=20091,OSECom - OSEAdu,Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos,CFP,Centro de Formación Profesional,Gerencia Operativa de Formación Profesional,Ministerio de Educación,1.000000000000000,1.000000000000000,SAN NICOLAS,08 - HOSP RAMOS MEJIA,"1",106696.191196999992826,103050.296912000005250,Otros Servicios Educativos de la modalidad Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos
"200120","20101700","201017","0",1.000000000000000,Gral. Lucio Norberto Mansilla 3643,Gral. Lucio Norberto Mansilla 3643,Instituto de Formación Técnica Superior N° 18,IFTS 18,4823-2477,dfts_ifts18_de2@bue.edu.ar,C1425,http://www.buenosaires.gob.ar/educacion/estudiantes/terciario/formacion-tecnica-superior,SNUCom - OSEAdu,Nivel Superior No Universitario Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,IFTS,Instituto de Formación Técnica Superior,Dirección de EducaciónTécnica Superior,Ministerio de Educación,2.000000000000000,14.000000000000000,PALERMO,04 - HOSP FERNANDEZ,"1",104446.225797000006423,104276.528111000006902,Superior No Universitario Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos
